Systemnummer,Locations,Persons
AC09625879,"Engelland Leibsquardi;Guiana","De Bry;Frantzen Drakens Ritters;Thomas Candisch;Walther Rhaleg"
AC07938330,"","Leone Flaminio;Raiss"
AC10247606,"","Ambrosii Richßhoffers"
AC07794617,"Marchirn;Portugäsen","Jnsul Ceilon;Anno Christi;Johann Jacob Saars"
AC10282956,"Lappland;Straßburg","Joannis Schefferi;Lapponia"
AC10283495,"Jerusalem;Thüringen","Hieronymum Scheidt;Oerter;Dabey;Kurtze"
AC10230776,"Tübingen;Secretarien;Rom;Italiam;Württemberg;Niderlandt;Engellandt;Franckreich S. Michaels;Heidenheim","Heinrich Schickharten Jhrer F. Gn;Engellandt Jacob Rathgeben;Mümppelgart;Friderich;Zweyer Raisen"
AC10472894,"Tübingen;Jtalien;Stuttgart;Rom;Italiam;Württemberg;Niderlandt;Engellandt;Franckreich S. Michaels;Heidenheim","Cellivm;Jhrer F. G.;Raiß Titul;Heinrich Schickhart Jhrer F. Gn;Engellandt Jacob Rahtgeben KammerSecretarien;Hochgemelter Fürst;Mümppelgart;Friderich"
AC10473585,"China;Kithaiskia","Georg Adam Schleisfing;Neu-entdecktes Sibyrien"
AC09974255,"Americam","Levinvm Hvlsivm;Schmidel;Schmidel von Straubing von Anno"
AC13779145,"Brasilia;Americam","Levinvm Hvlsivm;Schmidel;Plate;Schmidel von Straubing von Anno"
AC09625311,"","Dieterich von Bry;Vlrici Schmidts"
AC05861716,"Suyd See;Hollandt","Wilhelm Schouten;Cornelisz Schouten van Hoorn"
AC11092815,"","Dieterich von Bry;Johann;Völcker;Cornelisz Schouten van Hoorn"
AC02064682,"Sudersee;Suden;Hollandt","Wilhelm Schout;Cornelisz Schouten van Hoorn"
AC08171604,"Hochteutsche;Nord-See;Norwegen;Bergen;Holland;Jnseln","J. D.;Heyde;Frantz Janß;Harlem;Walter Schultzen"
AC10307407,"Nürnberg;Constantinopel;Jar;Evangelio;Röm;Jerusalem;Teutschland","Salomon Schweigger;Policey;Deß;Keys;Oerter darbey;Völcker;Darinn"
AC10307408,"Nürnberg;Constantinopel;Evangelio;Röm;Jerusalem;Teutschland","Salomon Schweigger;Policey;Käys;Oerter darbey;Völcker;Darinn"
AC10314757,"Rechegg;Jesu;Paraquarien;Etsch","Gabriel Sepp;R. P. Sepp Soc;Kurtzer;Antonii Böhm;Antonii Sepp"
AC07551565,"Jerusalem","Lavrentivm Slisansky"
AC05861699,"America;NordtJndien","Johann Schmidt;Neuwen Engellandts"
AC13796373,"America;NordtJndien","Johann Schmidt"
AC14465876,"Oost","Völcker;Beneben Erzehlung;Giorgio von Spilbergern"
AC11092838,"Dantzig;SuderSee;Oost","M. Gotthard Arthus;Völcker;Georgius von Spielbergen"
AC11093628,"Pegù;Alleppo;Seelandt;Orientalischen Jndien","Johann Theodor vnd Johann Jsrael de Bry Gebrüder;M. Gotthardt Arthus;Casparus Balby;Georgij"
AC14493767,"Bayreuth;Europa","Publ;Collegii Christian-Ernestini;F. Menudier;Anjetzo;Georgius Wheler;Jacob Spon;de Dalmatie"
AC14493773,"Bayreuth;Europa","Publ;Collegii Christian-Ernestini;F. Menudier;Anjetzo;Georgius Wheler;Jacob Spon;de Dalmatie"
AC10337706,"","Jesu Chrjstj;Arnd Gebhards von Stammer"
AC10356133,"Astracan;Japan;Griechenland;Persien;Griekenlandt;Italien","A. M.;Ispahan;David Butler;Oerter;Moscau Tartarey Meden Persien Türckey;Jansz;Liflandt Moscovien"
AC08918860,"Mettau K. M.;Neustadt;Pettau;Röm","P. Paul Tafernern Jesuitern;Walter Leßlie des H. R. Reichs;Maj. Leopoldus;Keis;Walterus Comes de Leslie Keiserliche Botschafft;Portam Ottomannicam;Leopoldo I.;Caesarea Legatio"
AC15257577,"Asien;Persien","Japon;Taverniers Ritters;Johann"
AC15256899,"","Taverniers;Johann;Six Voyages"
AC15256872,"","Publ;Bayreuthischen Collegii Christian-Ernestini;J. Menudier;Jacob Spons;Jn Dreyen Theilen;Türkey Persien Jndien;Taverniers;Johann;Six Voyages"
AC15353248,"","Jn Türckey Persien;Johan Baptista Tavernier;Six Voyages"
AC15353192,"","Jn Türckey Persien;Johan Baptista Tavernier;Six Voyages"
AC15353060,"Persien","Johann Herman Widerhold;Jn Türckey Persien;Johan Baptista Tavernier;Six Voyages"
AC10369282,"Persien;Moscaw;Polen;Schlesien;Prag","Georgio Tectandro;Hoff;Kurtze"
AC10369283,"Prag;Armenien;Persien;Polen;Röm;Moscaw;Schlesien","Ian;May;Kays;Georgen Tectander von der Jabel;Georgio Tectandro;Stephano Kakasch von Zaloukemeny;Christi;Kay;Persianischen Reiß;Kurtze;Iter Persicvm;Hoff"
AC03958402,"Bagdats;Asia;Arabiens Mecha;Europa;Europe","Thevenots;Deß;Nili;Constantinopels"
AC03958445,"Europa;Europe",""
AC03958471,"Europe",""
AC10383262,"Rom;Europa;Peru","Jn Jtalienischer;Jars;Prouintz Procuratorn;P. Iacobvm Torrensem;Kurtzer;P. Diego de Torres della Compagnia di Giesu"
AC10393829,"Egypten;Persien;Syrien;Suria","H. Barthema;Polycey;Völcker;H. Ludwig di Barthema von Bononien;Persia"
AC09974249,"Grönland;Cathay vnd China","Levinum Hulsium;Lappiam"
AC13776361,"Cathay vnd China","Levinvm Hvlsivm;Lappiam;Warhafftiger"
AC09912736,"","Heutelia"
AC11093711,"Dantzig","M. Gotthard Arthvs;Johann Verkens;Peter Wilhelm Verhuffen;Kurtze"
AC05861593,"","Johann Verkens von Leiptzig;Peter Wilhelm Verhuffen;Kurtze"
AC13795358,"Leipzig","Johann Verkens;Peter Wilhelm Verhuffen;Kurtze"
AC05861612,"Leipzig;Holl","M. G. A. D;Johann Verkens;Peter Wilhelm Verhuffen;Kurtzer"
AC11093749,"Dantzig;Holl","Theodor de Bry;Johann;Kurtzer Verzeichnuß Johann Verkens;Peter Willhelm Verheiffen;Kurtze;Peter Wilhelm Verhuffen;Kurtzer"
AC10405921,"Hierusolomitanischen Reiß","Petrus Villinger"
AC10424732,"Türkey;Thürne;Ungarn Thracien","Christian von Wallsdorff;Sophia Philippolis Adrianopel Constantinopel Galata Alexandrien Alkair;Darinnen"
AC10425489,"Jerusalem;Venedig;Synai;Palæstina;Teutschland;Palaestina","Jesu Christo;Oesterreich;Maximiliani Ernesti;Bernhard Walther von Walterßweyl Fürstl;Reiß"
AC10434248,"Würtemberg;Sicilia;Vulcano;Mediterraneischen Meer;Hispanien Franckreich Niderland Lothringen Burgund;Formentera;Minorca;Majorca;Sardinia;Teutschland","Rahts;Hieronymi Welschen Fürstl;Barbaria;Jnsuln Sicilia"
AC14470439,"Barmuda;Virginia","Newen Engellands"
AC07795683,"Nürnberg;Teutschland;Jerusalem;Mecha","Salomon Schweiggers;Johann Wilden Burgern;Türckischen Käysers;Järlichen Walfahrt von Alcairo;Reys;Völcker"
AC06341129,"Hessen;Homburg;Brasilien","Hans Just Wynkelmann;Hans von Staden;Barbarey"
AC10452705,"","J. P. W. D.;Jn;Sigmund Wurffbains"
AC07913036,"Jtalia;Teutschland","Darinn"
AC07061072,"Oppenheim","Iohan-Theodoro De Bry;M. Philippum Ziglerum von Würtzburg E.C. Vnd Vber;Gebräuch Policey;Völcker"
AC10306082,"","G. E. L.;Jetzo;H. Grabs;Johan Schwallarten;Jtalianischer Spraach;Jordan;Devotissimo viaggio di Gerusalemme"
AC08188792,"","H. Ordens S. Francisci;Electvm Zwinner;Lands Palestinæ;Deß"
AC09974252,"Augusto;Oost Indien","Levinvm Hvlsivm"
AC09974250,"","Niderländers;Oliuarij von Noort;Thomæ Candisch Engeländers;Francisci Draconis Engeländers;Sebastiano de Cano;Ferdinandi Magellani Portugalesers;Kurtze"
AC05861732,"","Niderländers;Oliuarij von Noort;Thomæ Candisch Engeländers;Francisci Draconis Engeländers;Sebastiano Cano;Ferdinandi Magellani Portugalesers;Kurtze"
AC11093681,"Annabon","Johann Theodor vnd Johann Jsrael de Bry Gebrüder;M. Gothart Arthus von Dantzick;Cornelio;Cornelio Niclas"
AC05859839,"","Weyland Leuinum Hulsium;Kurtze"
AC13780349,"","Weyland Levinum Hulsium"
AC05859864,"Hollandt;Hagen","Steffan"
AC06602256,"Malacca","Cornelis Matelief"
AC05861582,"Malacca;OstJndien","Cornelis Matelief"
AC14470845,"Hollandt;Baia Matanca;Jnsul Cuba;Brasilien","Henrich Cornelius Loncq;Peter Peters Heyn"
AC11092682,"Dantzig;Niederländischer;Hollandt","Dietrichs de Bry;M. Gothardt Artus;Sebald de VVeert;Iohan;Todt;Völcker"
AC11092742,"America;Nord-Jndien;Virginien;Homar;Castilien","Theodor de Bry;Johan;Capitein Johann Schmiden Rittern vnd Admiraln;Powhatans;Ferdinando;Americi Vesputii"
AC11092890,"Brasilien;Bermuda;Guiana;Brasilia;Virginia","Gantz;Continvatio Americae"
AC11092938,"Brasilien;Jnsul Cuba;Panama;Guatimala;Jucatan;Cinaloa","Merian;Heinrich Cornelis Lunck;Peter Hein;Jacob"
AC11095660,"Hochteutscher;Vatterlandt;Spanien;Chinam","Theodor de Bry;Johann;Petro Ferdinandes de Quir;Terra Australis;Johann Hegen;Oerter;Henrich Hudson;M. Henrico Hudsono Ango"
AC11095721,"Oppenheim;Spitzberg;Cambaja;OstJndien","Theodor de Bry;Johan;Emanuelis von Portugall Anno;Americi Vesputii"
AC11095766,"Jacatra;China Persien;OstJndien","Jacob l'Eremit"
AC11095780,"China Persien;Jndostan;OstJndien",""
AC15461475,"Belgrad;Röm","Julij;Junij;Ambassiador Jhre;Jhro Hoch-Gräffl"
AC15461471,"Constantinopel","Bey"
AC15461466,"Constantinopel","Bey"
AC04510780,"Modena;Römischen Königin",""
AC04510883,"","nacher Lintz;Roveredo;Februarii"
AC05906012,"Sachsen;Prag","May;Keys;Maximiliani;Jhr Keys;Vera Descriptio Visitationis"
AC09701368,"Franckreich","Lion"
AC09705487,"GroßBritannien;Bayern;bey Rhein deß Heiligen Römischen Reichs Ertztruchsessen","Iacobi"
AC09807605,"Deß Grossen Mogols Deß Grossen Neguz",""
AC09843860,"France;Madrid;ponctuelle de la réception de M.","Hoff;Octobris;Mareschal;Deß;Reisz"
AC09846891,"Chur;Teutschland","deß H. R. Reichs;Augusto;May Junio Julio"
AC09995786,"Niederlanden;Oost","Cornelis Speelmann;Kurtze"
AC10153023,"Amsterdam;Warvvijck;Martio;Oost Indien","Vnd;Iacob Corenlissz Neck;van Amsterdam;Admirael Jacob van Neck en de Wybrand van Warwyck;Journael van de tweede Schip-vaert"
AC10239953,"Ceremonien;Türcken;Persien","Lands Palæstinæ"
AC10240949,"Constantinopel","Jhro Kays;Kays"
AC10240995,"Saltzburg;Röm","Octobris;Kayserliche Mayestät"
AC10241018,"Bayrn;Guinea;Goa;Iapon","Iesu Jtalianischen;Ægidium Albertinvm;Mozambic"
AC10241034,"Röm","M. DC;Kay;Kurtze"
AC10241038,"Religions;Jar;Jappon;China;Orientalischen Indien","Societatis Iesv;Quabacondoni;Mogor;Newe"
AC10241087,"Mexico;Jar;Jesu","Christi;Japon"
AC10241088,"Mexico;Jesu","Christi;Japon"
AC10256579,"","Gabriel Rollenhagen;Vnd von S. Brandano;Luciano;Secundo;Wunderbarlicher"
AC09629629,"Ceremonien;Jerusalem;Persien;Bergen Auwen","vnd Heyland Christus di"
AC09629630,"Constantinopel;Röm;Bergen Auwen Meer;Szydlowiec;Olike","Policey;Keys;Oerter;vnd Heylandt Christus;Jordan;Salomon Schweyggern;H. Grabs;Johann;Nicolaum Christophorum Radziuili Hertzogen"
