Systemnummer,Locations,Persons
AC07530148,"Oesterreich Archigymnasij;Hispania;Japonischen","S. Hieronimi;Rocuyemon Faxecura;Don;Philip;May;Rom Paulum"
AC05928802,"Oesterreich Gymnasij;Wien;Ambasciada;Hispania;Voxu","R.P.F. Thobiam Hendschelivm D. obbesagtes Francisc;Amato Romano V.I.D.;Rocuyemon Faxecura;Hochgebornene Don;Philip;May;Rom Paulum"
AC09654886,"Zürich;Stetten;Siciliam;Jerusalem;Constantinopel;Wien","Johann Jacob;Natoliam Cappadociam Ciliciam Syriam;Vngariam Serviam Bulgariam;Oesterreich;Jn;Reiß"
AC09656610,"Holstein","Adam Olearium;Volquard Jversen;Christi;Jürgen Andersen"
AC15336575,"Spanien",""
AC15336562,"Spanien",""
AC09676508,"Hochteutsche;India;Ceremonien","Anitzo;Philippum Baldæum;Heyden;Jnsel Zeylon;Naauwkeurige Beschryvinge van Malabar"
AC09692458,"","Caes;Johann von der Behr"
AC09695833,"Teutschland;Constantinopel;Wien;Germania","Anjetzo;Iohanne Benaglia;Albrecht Caprara;Deß;Merckwürdiges;Reisz;Constantinopoli"
AC09623298,"","Dieterich;Atabalibam;Benzo von Meylandt"
AC09716233,"Niederlande;Teutschland Frankreich;Halberstadt Minden;Nürnberg Fürst;Jägerndorf;Crossen;Schlesien;Stettin Pommern;Preußen;Magdeburg;Brandenburg","Pal;Sigmund;Reis-Diariis;Burggraf;Christian Ernst Marggraf"
AC09720747,"Thrazien","G. C. S. A. T.;Henrich"
AC14472348,"Spitzbergen;Türck Alberts Raven","Christophel le Blon;Wilhelm Jßbrands Bontekuhe von Horn;van de Ost-Indische Reyse van Willem Ysbrantz Bontekoe van Hoorn;Journael"
AC09729557,"Jesu","Frawen;Christophori Borri;Cocincina"
AC09729816,"Allmeyda Albuquerque","Erasmum Francisci;Matthia;V. D. B. Anjetzo;M. A. de Ruyter;Christoffel Colombus"
AC09732089,"Syrien Arabien Persien;Algier;China;Beryte Auß Franckreich;Siam << M. de Bourges","T. R. C. S. C.;Völcker"
AC14470363,"Hollandt;Syrien;Alexandriam;Basel","Sardegna Corfu;Castell Nassaw;Jn Africam;Samuel Brauns Burgers;Schiffarth Jnhaltendt;Burgers;Samuel Brun"
AC11093192,"Holland;Portugal;Syrien;Alexandriam;Basel","Johann Theodors de Bry;Sardegna Corfu;Castell Nassaw;Jn Africam;Samuel Brauns Burgers;Burgers;Samuel Brun"
AC14472243,"Ahorn;Streitberg;Malta","Johann Friedrich Breithaupt;Johann Hieronymus Marschalck von Ebeneth;Caulsdorff Schernegg vnd Gattendorff;Ludwig Wilhelm Gebrüdere;Georg Wilhelm;Ludwig Wilhelm"
AC09738292,"Syrien;Griechenlandt Egypten Arabien Palestinam;Türckey;Buchenbach","Hanns Jacob Breunings"
AC09738294,"Syrien;Europa;Buochenbach","Jacob Breüning;Deß"
AC14473154,"Japan","Elias Herckemann;Heinrich Brawern;Chili;naer de custen van Chili;de Straet le Maire;Journael"
AC09741211,"London;Europe","Völcker;Bley;Worbey;Engell;M. D.;Edward Brown"
AC09742560,"Spanien","Johann Mackle D.;Et Politique"
AC09750435,"Franckreichs;Switzerland","Molinos;Worinnen;Gilberti Burnets"
AC09750783,"Frankfurth;Amasien;Constantinopel;Röm","Darinnen;Ferdinand;Augerii Gislenii von Busbeck"
AC09705617,"","Raiß;Leopold I."
AC09757482,"","P. P.;H. Schrifft D.;Rudolff Capel"
AC15456639,"Hispanien","Durchgehends;Brevissima relación de la destruyción de las Indias"
AC10053682,"Spanien;WestJndien","Bischoff Bartholomæum de las Casas;Brevissima relación de la destruyción de las Indias"
AC08930434,"Hispanien","Casas;Durchgehends;Brevissima relación de la destruyción de las Indias"
AC02665117,"Persien","Persien Hoff"
AC09772037,"Franckreich Monsieur;Franckreich","Jhm;Madame la Douphine;Deß Königs;de Chaumont Jm;Roy de Siam"
AC05861706,"Cambaia","Robert Coverte"
AC13797150,"Cambaia","Robert Coverte"
AC09797616,"Vngarn Rebellischen Ragozi;Röm","Darinn Hochgedachter Jhr Excell;Herman Grafen von Schernin;Böheimb Khöniglicher Mayest;Kay"
AC14470954,"Straßburg","Adolph Deckern;Iacob l'Hermite Jm;Journal van de Nassausche"
AC09628947,"Jtalianischer Sprach","Petri Della Valle;Viaggi"
AC09628948,"","Petri Della Valle;Viaggi"
AC09628949,"","Petri Della Valle;Viaggi"
AC09628950,"","Petri Della Valle;Viaggi"
AC09805802,"Goa","Charles Dellon;Tyranney"
AC09818239,"","Spalato Angedeut;Ertz Bischoff;Marcus Antonius de Dominis"
AC09832396,"Afrika;Asia;Europa;Rheinfelden","Ordens S. P. Francisci;P. F. Ignatium;Christo Jesu;Kurtze"
AC10471189,"Affrica;Europa","Superiorum Permissu;Türckischen Käysers;P. F. Ignatio von Rheinfelden Deß Mindern Ordens S. P. Francisci Capucinern Jubilato;Jesu Christo Unserm;Deß;Kurtze"
AC03424711,"Nördlingen;Palatia","Christoph Eißlingen;Breviarium Itineris Italiae Breviarium Jtineris Jtaliæ"
AC07789632,"Niederlande","Christoph Abraham von Eyl;Cron Franckreich;Oerter"
AC10471323,"Peru","Michael Hemmersams;Pusch"
AC09877215,"","Völcker Thiere;A.;Christoff Frikens"
AC09881815,"Europa","Josephum Furttenbach"
AC08826003,"Mexico;Havana;Nicaragua;Spanien","Thomas"
AC05859790,"Hollandt;Hagen","Steffan"
AC09832639,"Kirchberg;Aphrica;Ehingen","Dominico Custode Burgern;Reimund Fuggern;Georgen"
AC08553942,"Römischen Käyserthum;Ottomannischen;Constantinopel","M. Samuelem Gerlachium;Hoff;David Ungnad Freyherrn;Rudolpho;Maximiliano;Stephan Gerlachs"
AC05861671,"Dantzig;Spanien;Chinam;Tatarien","Terra Australis;Heinrich Hudson;Kurtze"
AC13796079,"Dantzig;Spanien;Chinam;Tatarien","Jn Hochteutscher;Terra Australis;J. Kön;Beneben;Heinrich Hudson;Kurtze"
AC09909747,"Europam;Peru","Petri de Victoria Auß Hispanien;Raiß Deß;Pedro Gobeo de Vitoria"
AC09912310,"","Jacob;Joh"
AC06021769,"China;India Oriental;Companhia de Jesu","Fernão Guerreiro;Lisabona"
AC09921668,"Lißbona;India Oriental","Iesv;Fernando Guerreiro;Monomatapa Mogor;companhia de Jesus"
AC09924062,"Gallicia;Wallfarth","M. Christophoro Guntzinger Beneficiato Neostadij Austriæ;Christlichem;Jacob;Peregrinatio Compostellana"
AC05861683,"Virginien;Virginia","Pocahuntas;Powhatans"
AC09934618,"Weseriz;Pezka;Sinai;Benátek","zu Stöckach Jhro Römischen Käiserl;Christoph Wilhelm Harant Freyherr von Polschiz;Johann Georg Harant;Jhro Röm;Christoph Harant Freyherr von Polschiz;Kateřiny v pusté Arabii;Cesta"
AC09625865,"Teutsch;Engelland;Virginia","Christ;Thomam Hariot;Elisabeth Königin;Jn Vorlegung H. Walter Ralegh Ritter;Reichard Greinuile"
AC05954460,"Drey;Alexandrien","Michael Heberer von Bretten Churfürstlicher Pfaltz Cantzley Registratorn;Aegyptiaca Servitus Ægyptiaca Servitus"
AC09947694,"Frankreich;Louisiana","P. Ludwig Hennepin;Lovisiana"
AC09949658,"Nürnberg;Niederländischer;Archangel;Holland;Amsterdam;Rußland","Leonhard Loschge;David Abraham Herfer"
AC08141413,"Bern","Magistratûs Bernensis;Albrecht Herport Burgern;Reiß;Jndianischen Comagney"
AC14465945,"","Antonium de Herrera"
AC09994471,"Holländischen Spraach;Amsterdam;Jerusalem","Jacob Josten"
AC06298243,"Niederland Vnd Guajana","T. R. C. S. C. S.;Otto Keyens"
AC09743746,"Grönland","Johann Langen"
AC14473230,"Groenlands;Dennemarck Norgwegen;Groenland","Groenland;Hudsons;Weyland;Johann Müncken"
AC10418216,"Spitzbergen;Nova Zembla;Grönland;Grönlands;Groenland","Christian Richard;Jnwohnern"
AC10054033,"","J. C. S.;H. Richard Lassel;Reichthumb;Bündnüsse"
AC06609073,"","R. P. Louis le Comte;Frantzösischen Mathematico;Sina"
AC06609076,"","R. P. Louis le Comte;Frantzösischen Mathematico;Sina"
AC09625867,"Franckfort am Mayn;Teutsch;Floridam","Dieterich de Bry;H. Oseam Halen;C. C. A. Vnd;H. Guerguesio;H. Ribald;H. Laudonniere"
AC11093472,"Niederländischer","Johan Jsrael de Bry;Johan Dieterich;Julio;Würtz Specereyen"
AC09955533,"Nyli;Portugal","Rothe Meer;Johannes;P. Hieronymi"
AC10082453,"","Januarij;Rath;Kays;Copey Zweyer"
AC10085465,"Syrien","A. H. B.;Völcker;Warhafftiger;Lucian von Samosata"
AC06323994,"","Adam Olearium;Johan Albrechts"
AC11093577,"Dantzig;Canarische Jnseln;Africa;Guinea","Johann Theodor vnd Johann Jsrael;M. Gotthardt Arthus;Cabo de Trespunctas;Lauff;Mina genandt;van Africa;de Gout-custe de Mina;Gout Koninckrijck van Gunea"
AC09974256,"Hollandt;Africa;Guineam","Mina;van Africa;de Gout-custe de Mina;Gout Koninckrijck van Gunea"
AC13779656,"Hollandt;Africa;Guineam","Mina;van Africa;de Gout-custe de Mina;Gout Koninckrijck van Gunea"
AC10102242,"Hamburg","Martens"
AC08023877,"",""
AC10111491,"Neapolis;Europa","Darinn;Sam;Delitiæ Neapolitanæ"
AC10133594,"Teutschland;Niederlande;Engelland;Spanien;Asien","M. Christian Juncker;de Monconys"
AC10134690,"Japan;Vereinigten Niederländern","Arnold Montanus;Heuser Thiere"
AC10472044,"Japan;Vereinigten Niederländern","Arnold Montanus;Heuser Thiere"
AC10143407,"","Wilhelm Johann Müller von Harburg"
AC10143408,"","Jetzto;Christl;Wilhelm Johann Müller"
AC09974251,"","Würtz"
AC13775934,"Martio","Levinvm Hvlsivm;Würtz"
AC11093658,"","Johan Jsrael de Bry Gebrüder;Johan Theodor;M. Gotthardt Artus von Dantzig;Johan Herman von Bree;Ann;Jacob von Neck;Jacob van Neck;Journael van de tweede reys"
AC11093530,"Israel de Bry Gebrüder;Niederländischer;Amsterdam","Iohan Theodor;Völcker;M. Gothart Artus von Dantzigk;Würtz;Muscaten Negelein;Banda"
AC10156117,"","Hans Chilian Neumaier von Ramßla;Johann Wilhelms Neumair von Ramßla"
AC10156722,"Meissen;Düringen Marggrafen;Sachsen;Niederland;Engelland;Franckreich","Johan Wilhelm Neumayr von Ramßla;Cleve;Johann"
AC09841812,"","Sud;De Pines"
AC10472183,"","Elivd Nicolai;Dabey"
AC05197132,"Koilan;Vereinigten Niederländern","Johan Neuhof;Götzendienste;Jacob Keisern;Peter de Gojern"
AC10472190,"Koilan;Vereinigten Niederländern","Jtzund;Johan Neuhof;Götzendienste;Jacob Keisern;Peter de Gojern"
AC08439291,"Fürstl;Persien;Rußland Tartarien","Ascanium Saxonem;M. Adamum Olearium;Johan Albrecht Von Mandelslo"
AC10169202,"Persien;Rußland;Russischen Zaar","Hoff Mathematicus;Holstein Bibliothecarius;Adam Olearius Ascanius"
AC05952353,"Dantzig;Hochteutscher;Niederländischer;Hollandt;Spanischen Gubernatorn;Bonas Aeres;Rio de Plata;Guinea","Dietrich de Bry;M. Gotthart Arthus;Heinrich Ottsen;van de voyagie na Rio de Plata;Journael"
AC06479586,"China;Relacion de la entrada de algunos padres de la Copania de Jesu","Lehr Christi;Histori Vnd"
AC10196398,"Gebürg Meer",""
AC10196399,"Gebürg Meer","P. Philippi"
AC10199539,"Goa","P. Claudium Aquauia;Iesv;Nicolaum Pimentam"
AC15353946,"Cauchenchina;Ainan;Calaminham;Japon;China;Europa","Volker;Dabey;Calempluy;Queda;Brama;Martabane;Tartarey;Ferdinandi Mendez Pinto"
AC10115728,"Cauchenchina;Ainan;Calaminham;Japon;China;Europa","Krafft;Völcker;Dabey;Calempluy;Queda;Brama;Martabane;Tartarey;Ferdinandi Mendez Pinto"
AC10472627,"Jtalianischer Sprach;Venedig;Orient;Cathai","Johan Baptistæ Rhamnusij;Marcus Polus;Chorographia Tartariæ"
AC10211025,"Bulgarey Armenien Persien;Constantinopel;GroßNedlitz;Schlesien","Heinrich von Poser;Worinnen;Jauer"
AC10222520,"Italiam;Steyr","Matthias Puel T. P. M. V."
AC10225520,"Mappis;Spanien","Terra Australis;May;Petri Fernandes de Quir"
AC10227706,"Borkav Nobil;Szyllowikc;Olika","Jetzundt;Frawnburgk Custodem;Thomam Tretervm;Nilo;vnd Egyptischen Landt;Nicolai Christophori Radzivili;Peregrynacya"
AC09705781,"Guiana","Iodocus Hondius;Walthero Ralegh;Kurtze"
AC09705661,"Guiana","Jodocus Hondius;Walthero Ralegh;Kurtze"
AC13779622,"Guiana","Jodocus Hondius;Walthero Ralegh;Kurtze"
