Systemnummer,Locations,Persons
AC10191033,"Jar;Rö;Augspurg","Paul Pesel;Raiß;Kayser;Kayser Karls"
AC10232182,"Mesopotamiam","Medici;Raiss"
AC10232183,"Mesopotamiam","Medici;Raiss"
AC10264057,"","Jobst Ruchamer"
AC10316412,"Schlesien;Wallfart","Melchior von Seydlitz"
AC10316413,"Schlesien;Wallfart","Melchior von Seydlitz"
AC10316414,"Schlesien;Wallfart","Melchior von Seydlitz"
AC10316415,"Schlesien;Wallfart","Melchior von Seydlitz"
AC10335700,"","Balthasar;Emanuel"
AC10336601,"Nidda;Hessen;Homberg;Christi","Eychman Ordinarij Professoris Medici;Dryandri;D. Joh;Dietz Ziegenhain;H. Philipsen Landtgraff;Dedicirt;Hans Staden;Menschfresser Leuthen"
AC10388659,"Nürnberg;Sinay Alexandria;Venedig Jerusalem","Burger;Johan Thůcher"
AC10393828,"Suria","Arabia Persia Jndia vnd Ethiopia;Egypto Syria;Bolonia;Ludowico Vartomans;Persia"
AC10395848,"Niderländischer;Cathay vnd China;Jar","Gerhart de Ver;Lappiam"
AC10401907,"Jar;Christi;Orient","Constantzischen Rath;Ioannem Georgium;Portugalesischer;Ioannem Petrum Maffeium;Iesv;Kurtze Verzeichnuß Vnd"
AC10402196,"Portugal","Emanuel;Mundus novus"
AC10402198,"","Mundus novus"
AC10460550,"","Kayserlich Mayestet"
AC10473009,"Glaubenssachen;Ceremonien;Jerusalem;Bergen Auwen","vnd Heyland Christus;bißhero"
AC10474081,"Hessen;Homburg;Christi","Eychman Ordinarij Professoris Medici;Dryandri;Vnd;Hans Staden"
AC10478357,"München",""
AC10479820,"Kärntn Römischer;Herberstain Neyperg","May;Beheim Khü"
AC10732756,"","Frid;Franckreich;N. Nicolai Bürtig;Von de Raisz"
AC10852370,"Türkei",""
AC06547319,"HochTeutsch;China;gran Reyno de la China","Johann Kellner;Juan González de Mendoza;Bey;Goldt;Kurtze;cosas"
AC05753248,"Baiazeth vnd","Heinrich Müller;Jtem"
