Source,Target
Palestina@LOC,Christo@PER
Franciscus Dracus@PER,Calis Malis@LOC
Franciscus Dracus@PER,Franciscus Dracus Redivivvs@PER
Franciscus Dracus@PER,Kurtze@PER
Franciscus Dracus@PER,Jnsul Cuba@PER
Franciscus Dracus@PER,Florida@LOC
Dauid Vngnadn Freyherrn@PER,M. Franciscvm Omichivm@PER
Dauid Vngnadn Freyherrn@PER,Ostereich@LOC
Dauid Vngnadn Freyherrn@PER,Darinn@PER
Dauid Vngnadn Freyherrn@PER,Wien@LOC
Dauid Vngnadn Freyherrn@PER,S. G.@PER
Texel@LOC,Gilissy@LOC
Texel@LOC,Jndien@LOC
Texel@LOC,Laurentz Jnsel@PER
Texel@LOC,Conrad Löw@PER
Texel@LOC,China@LOC
Texel@LOC,Noua Zemla@PER
Texel@LOC,Obij@LOC
Texel@LOC,Gantz@PER
Texel@LOC,Jar@LOC
Texel@LOC,Jnsel Bally@PER
Texel@LOC,Hollandt@LOC
Texel@LOC,Nägelein@PER
Cartas de relación de la conquista de la Nueva España@PER,Friaul@LOC
Cartas de relación de la conquista de la Nueva España@PER,Hispanien@LOC
Cartas de relación de la conquista de la Nueva España@PER,Peter Sauorgnan@PER
Cartas de relación de la conquista de la Nueva España@PER,Herrn Herrn Ferdinanden Römischen@LOC
Cartas de relación de la conquista de la Nueva España@PER,Hispanischer Sprach von Cortesio@PER
Cartas de relación de la conquista de la Nueva España@PER,Tittel@PER
Cartas de relación de la conquista de la Nueva España@PER,Darzů@PER
Cartas de relación de la conquista de la Nueva España@PER,Carlos V.@PER
Cartas de relación de la conquista de la Nueva España@PER,Xysto Betuleio@PER
Cartas de relación de la conquista de la Nueva España@PER,Jar@LOC
Cartas de relación de la conquista de la Nueva España@PER,Temixtitan@LOC
Cartas de relación de la conquista de la Nueva España@PER,Ferdinandi Cortesii@PER
Cartas de relación de la conquista de la Nueva España@PER,Andrea Diethero@PER
Cartas de relación de la conquista de la Nueva España@PER,Carolvm@PER
Cartas de relación de la conquista de la Nueva España@PER,Hochteütsche@LOC
Beheim Khü@PER,May@PER
Beheim Khü@PER,Herberstain Neyperg@LOC
Beheim Khü@PER,Kärntn Römischer@LOC
Friaul@LOC,Hispanien@LOC
Friaul@LOC,Peter Sauorgnan@PER
Friaul@LOC,Herrn Herrn Ferdinanden Römischen@LOC
Friaul@LOC,Hispanischer Sprach von Cortesio@PER
Friaul@LOC,Tittel@PER
Friaul@LOC,Darzů@PER
Friaul@LOC,Carlos V.@PER
Friaul@LOC,Xysto Betuleio@PER
Friaul@LOC,Jar@LOC
Friaul@LOC,Temixtitan@LOC
Friaul@LOC,Ferdinandi Cortesii@PER
Friaul@LOC,Andrea Diethero@PER
Friaul@LOC,Carolvm@PER
Friaul@LOC,Hochteütsche@LOC
H. Guorguesio@PER,Franckfort am Mayn Anno@LOC
H. Guorguesio@PER,C. C. A. Vnd@PER
H. Guorguesio@PER,H. Oseam Halen@PER
H. Guorguesio@PER,Teutsch@LOC
H. Guorguesio@PER,Jacob le Moyne@PER
H. Guorguesio@PER,Floridam@LOC
H. Guorguesio@PER,H. Ribald@PER
H. Guorguesio@PER,Dieterich@PER
H. Guorguesio@PER,Americæ@LOC
Aphrica@LOC,Jaren@PER
Aphrica@LOC,Hans Dieterich@PER
Aphrica@LOC,Portugal@LOC
Aphrica@LOC,China@LOC
Aphrica@LOC,Hans Jsrael@PER
Aphrica@LOC,Holchteutsch@LOC
Aphrica@LOC,Jetzo@PER
Aphrica@LOC,Joan Hugo@PER
Aphrica@LOC,Jar@LOC
Hollande@LOC,Indien@LOC
Hollande@LOC,Mauritius@PER
Hollande@LOC,Hochteutsch@LOC
Hollande@LOC,Amsterdam@LOC
Hollande@LOC,Hollandia@PER
Hollande@LOC,Conrad Lew@PER
Hollande@LOC,Jndia@LOC
bißhero@PER,Bergen Auwen@LOC
bißhero@PER,vnd Heyland Christus@PER
bißhero@PER,Ceremonien@LOC
bißhero@PER,Glaubenssachen@LOC
Johann Staden@PER,Ioannis Lerij@PER
Johann Staden@PER,Brasilien@LOC
Johann Staden@PER,Dieterich Bry@PER
Johann Staden@PER,Homberg@LOC
Johann Staden@PER,Darinn Brasilia@LOC
Johann Staden@PER,Lüttich@LOC
Johann Staden@PER,Hessen@LOC
Ioannis Lerij@PER,Brasilien@LOC
Ioannis Lerij@PER,Dieterich Bry@PER
Ioannis Lerij@PER,Homberg@LOC
Ioannis Lerij@PER,Darinn Brasilia@LOC
Ioannis Lerij@PER,Lüttich@LOC
Ioannis Lerij@PER,Hessen@LOC
Hans Staden@PER,Eychman Ordinarij Professoris Medici@PER
Hans Staden@PER,Dryandri@PER
Hans Staden@PER,H. Philipsen Landtgraff@PER
Hans Staden@PER,Homberg@LOC
Hans Staden@PER,Menschfresser Leuthen@PER
Hans Staden@PER,Nidda@LOC
Hans Staden@PER,Vnd@PER
Hans Staden@PER,Homburg@LOC
Hans Staden@PER,Christi@LOC
Hans Staden@PER,D. Joh@PER
Hans Staden@PER,Hessen@LOC
Hans Staden@PER,Dedicirt@PER
Medici@PER,Mesopotamiam@LOC
Medici@PER,Raiss@PER
Johan Thůcher@PER,Sinay Alexandria@LOC
Johan Thůcher@PER,Burger@PER
Johan Thůcher@PER,Nürnberg@LOC
Johan Thůcher@PER,Venedig Jerusalem@LOC
Johann@PER,Weyl@PER
Johann@PER,Olaj Magni@PER
Johann@PER,Kurtzer@PER
Johann@PER,Rom@LOC
Johann@PER,Olavm Magnvm@PER
Johann@PER,Gothien@LOC
Johann@PER,Leipzig@LOC
Johann@PER,Vnd@PER
Johann@PER,Venedig@LOC
Johann@PER,Johann Jacoben@PER
Johann@PER,Sinai Alcair Alexandria@LOC
Johann@PER,Jar@LOC
Johann@PER,Hierusalem@LOC
Johann@PER,Schweden@LOC
Rö@LOC,Augspurg@LOC
Rö@LOC,Kayser@PER
Rö@LOC,Paul Pesel@PER
Rö@LOC,Raiß@PER
Rö@LOC,Jar@LOC
Rö@LOC,Kayser Karls@PER
Franckfurt am Mayn@LOC,Moritzen@PER
Franckfurt am Mayn@LOC,Ioannis Benzonis von Meylandt@PER
Franckfurt am Mayn@LOC,Spanien@LOC
Franckfurt am Mayn@LOC,Dieterich@PER
Franckfurt am Mayn@LOC,Hessen@LOC
P. Petri Martonez@PER,China Japon@LOC
Baiatzeth vnd@LOC,Jtem@PER
Baiatzeth vnd@LOC,Heinrich Müller@PER
Ferdinando@PER,Julij@PER
Ferdinando@PER,Christoph Scheurl@PER
Ferdinando@PER,Barbarossa@PER
Ferdinando@PER,Römischen Küng den XXIII@LOC
Ferdinando@PER,Karl V.@PER
